Time,Island,Site,Specific.Location,Transect,structure,hard_coral,macroalgae,pavement,rubble,soft_coral,turf,CCA,dead,sand,sea_cucumber,sponge,urchin
14:25,Fregate,Low,Offshore,1,3.5,0.233333333,0.033333333,0.183333333,0.05,0.15,0.25,0.083333333,0,0.016666667,0,0,0
14:25,Fregate,Low,Offshore,2,3,0.166666667,0.016666667,0.183333333,0,0.25,0.233333333,0.066666667,0.05,0.033333333,0,0,0
14:25,Fregate,Low,Offshore,3,3,0.416666667,0,0.216666667,0.033333333,0.183333333,0.033333333,0.1,0,0,0.016666667,0,0
14:25,Fregate,Low,Offshore,4,1.5,0.4,0,0.283333333,0.116666667,0.083333333,0.033333333,0.05,0.016666667,0,0,0.016666667,0
8:29,Cousine,Site 1,Offshore,1,2,0.7,0,0,0.166666667,0,0.083333333,0.033333333,0,0,0,0.016666667,0
8:29,Cousine,Site 1,Offshore,2,2.5,0.433333333,0,0.033333333,0.133333333,0.016666667,0.3,0.05,0,0,0,0,0.033333333
8:29,Cousine,Site 1,Offshore,3,2.5,0.333333333,0,0.083333333,0.433333333,0,0.083333333,0.016666667,0,0.016666667,0,0.033333333,0
8:29,Cousine,Site 1,Offshore,4,2,0.366666667,0,0.016666667,0.416666667,0,0.133333333,0.066666667,0,0,0,0,0
8:35,Aride,Site 1,Offshore,1,1.5,0.216666667,0,0,0.333333333,0,0.05,0,0,0.366666667,0,0.033333333,0
8:35,Aride,Site 1,Offshore,2,1.5,0.033333333,0,0,0.666666667,0,0.083333333,0.016666667,0.033333333,0.166666667,0,0,0
8:35,Aride,Site 1,Offshore,3,2,0.05,0,0.05,0.633333333,0,0.05,0,0,0.183333333,0,0,0.033333333
8:35,Aride,Site 1,Offshore,4,1.5,0.1,0,0.066666667,0.333333333,0,0.3,0,0,0.15,0,0.033333333,0.016666667
8:45,Fregate,High,Offshore,1,3,0.716666667,0.016666667,0.016666667,0.083333333,0.033333333,0.1,0.016666667,0.016666667,0,0,0,0
8:45,Fregate,High,Offshore,2,2.5,0.566666667,0,0.083333333,0.083333333,0.033333333,0.116666667,0.05,0.066666667,0,0,0,0
8:45,Fregate,High,Offshore,3,3.5,0.6,0.016666667,0.05,0.233333333,0,0.033333333,0.066666667,0,0,0,0,0
8:45,Fregate,High,Offshore,4,1.5,0.316666667,0,0.033333333,0.4,0.116666667,0.05,0.066666667,0.016666667,0,0,0,0
9:53,Felicite,Site 1,Offshore,1,2,0.266666667,0,0.1,0.283333333,0,0.1,0.166666667,0,0.033333333,0,0,0.05
9:53,Felicite,Site 1,Offshore,2,1.5,0.116666667,0,0.1,0.2,0.016666667,0.383333333,0.05,0,0.1,0,0.016666667,0.016666667
9:53,Felicite,Site 1,Offshore,3,2.5,0.05,0,0.083333333,0.283333333,0.016666667,0.2,0.15,0,0.15,0,0,0.066666667
9:53,Felicite,Site 1,Offshore,4,2,0.166666667,0,0.033333333,0.483333333,0.033333333,0.083333333,0.016666667,0,0.166666667,0,0,0.016666667
