"","Island","Site","Cage","Number.Hours","Average_turf_height_initial","Average_turf_height_final","Turf_growth_total","Turf_growth_per_hour","Turf_growth_mm_per_day","Sample.ID","Turf_N15","Exposure_J_m3","mean_herb_bio","mean_herb_prod","mean_pred_bio","mean_structure","coral_cover","turf_cover","macro_cover","pave_cover","cca_cover","dead_cover","sand_cover","other_graze_cover","sand_rub_cover","other_org_cover"
"1","Aride","Site 1",1,168,1.727,3.66,1.933,0.0115059523809524,0.276142857142857,507,3.6,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"2","Aride","Site 1",3,168,1.295,3.165,1.87,0.0111309523809524,0.267142857142857,525,2.4,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"3","Aride","Site 1",7,168,1.64,4.676,3.036,0.0180714285714286,0.433714285714286,512,4.8,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"4","Aride","Site 1",8,168,1.435,4.408,2.973,0.0176964285714286,0.424714285714286,510,4.7,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"5","Aride","Site 1",12,168,1.669,3.604,1.935,0.0115178571428571,0.276428571428571,518,4.5,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"6","Aride","Site 1",15,168,1.401,3.629,2.228,0.0132619047619048,0.318285714285714,515,NA,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"7","Aride","Site 1",17,168,1.525,3.179,1.654,0.0098452380952381,0.236285714285714,524,3.7,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"8","Aride","Site 1",19,168,0.958,4.638,3.68,0.0219047619047619,0.525714285714286,522,5.7,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"9","Aride","Site 1",27,168,1.48,3.927,2.447,0.0145654761904762,0.349571428571429,509,3.3,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"10","Aride","Site 1",30,168,1.178,4.974,3.796,0.0225952380952381,0.542285714285714,511,4.7,87.04,915.325,0.56767616875,163.975,1.625,0.1,0.12083333325,0,0.02916666675,0.00416666675,0.00833333325,0.21666666675,0.04166666675,0.70833333325,0.0166666665
"11","Cousine","Site 1",4,146,2.12,4.817,2.697,0.018472602739726,0.443342465753425,546,8,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"12","Cousine","Site 1",6,146,1.567,3.43,1.863,0.0127602739726027,0.306246575342466,528,4.5,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"13","Cousine","Site 1",9,146,1.836,2.319,0.483,0.00330821917808219,0.0793972602739726,527,2.6,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"14","Cousine","Site 1",11,146,1.147,2.531,1.384,0.00947945205479452,0.227506849315068,540,4.6,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"15","Cousine","Site 1",13,146,3.912,4.05,0.138,0.000945205479452054,0.0226849315068493,534,4.5,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"16","Cousine","Site 1",14,146,1.645,3.037,1.392,0.00953424657534246,0.228821917808219,537,NA,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"17","Cousine","Site 1",20,146,1.535,4.409,2.874,0.0196849315068493,0.472438356164383,545,4,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
"18","Cousine","Site 1",22,146,1.624,3.607,1.983,0.0135821917808219,0.325972602739726,543,3.4,483.27,640.3,0.338411232,131.325,2.25,0.45833333325,0.14999999975,0,0.03333333325,0.04166666675,0,0.00416666675,0.075,0.29166666675,0.01666666675
